City Name,Zone Name,Ward Name,Ward No,Total No. of households-establishments,Total no of households and establishments covered through doorstep collection,HH covered with Source Seggeratation 
Pimpri Chinchwad,F,1,1,24725,24725,24725
Pimpri Chinchwad,C,2,2,25985,25985,25985
Pimpri Chinchwad,E,3,3,18491,18491,18491
Pimpri Chinchwad,E,4,4,23590,23590,23590
Pimpri Chinchwad,E,5,5,14700,14700,14700
Pimpri Chinchwad,C,6,6,15077,15077,15077
Pimpri Chinchwad,E,7,7,19015,19015,19015
Pimpri Chinchwad,C,8,8,19850,19850,19850
Pimpri Chinchwad,C,9,9,16838,16838,16838
Pimpri Chinchwad,A,10,10,18521,18521,18521
Pimpri Chinchwad,F,11,11,28890,28890,28890
Pimpri Chinchwad,F,12,12,24985,24985,24985
Pimpri Chinchwad,F,13,13,19211,19211,19211
Pimpri Chinchwad,A,14,14,18910,18910,18910
Pimpri Chinchwad,A,15,15,20567,20567,20567
Pimpri Chinchwad,B,16,16,18757,18757,18757
Pimpri Chinchwad,B,17,17,23990,23990,23990
Pimpri Chinchwad,B,18,18,17560,17560,17560
Pimpri Chinchwad,A,19,19,22331,22331,
Pimpri Chinchwad,H,20,20,20980,20980,
Pimpri Chinchwad,G,21,21,20049,20049,
Pimpri Chinchwad,B,22,22,24550,24550,24550
Pimpri Chinchwad,G,23,23,17989,17989,17989
Pimpri Chinchwad,G,24,24,17839,17839,17839
Pimpri Chinchwad,D,25,25,23451,23451,23451
Pimpri Chinchwad,D,26,26,23397,23397,23397
Pimpri Chinchwad,G,27,27,17964,17964,17964
Pimpri Chinchwad,D,28,28,24136,24136,24136
Pimpri Chinchwad,D,29,29,23100,23100,NA
Pimpri Chinchwad,H,30,30,22455,22455,NA
Pimpri Chinchwad,H,31,31,22912,22912,22912
Pimpri Chinchwad,H,32,32,18785,18785,18785
,,,,,669600,560685
,,,,,,0.83734319
