City Name,Zone Name,Ward name,Door to Door (D2D) collection Status - No of Households (HH),Door to Door (D2D) collection Status - No of HH under daily D2D collection,User Charge Collection - Whether user charges imposed (Y/N),User Charge Collection - Rate (in INR),User Charge Collection - Monthly revenue collected (in lakhs)
Pimpri Chinchwad,F,1,19777,19777,No,N,0
Pimpri Chinchwad,C,2,14424,14424,No,N,0
Pimpri Chinchwad,E,3,13501,13501,No,N,0
Pimpri Chinchwad,E,4,15401,15401,No,N,0
Pimpri Chinchwad,E,5,13501,13501,No,N,0
Pimpri Chinchwad,C,6,13280,13280,No,N,0
Pimpri Chinchwad,E,7,14267,14267,No,N,0
Pimpri Chinchwad,C,8,12541,12541,No,N,0
Pimpri Chinchwad,C,9,14848,14848,No,N,0
Pimpri Chinchwad,A,10,17924,17924,No,N,0
Pimpri Chinchwad,F,11,26900,26900,No,N,0
Pimpri Chinchwad,F,12,22995,22995,No,N,0
Pimpri Chinchwad,F,13,17221,17221,No,N,0
Pimpri Chinchwad,A,14,16106,16106,No,N,0
Pimpri Chinchwad,A,15,17500,17500,No,N,0
Pimpri Chinchwad,B,16,29128,29128,No,N,0
Pimpri Chinchwad,B,17,17250,17250,No,N,0
Pimpri Chinchwad,B,18,15750,15750,No,N,0
Pimpri Chinchwad,A,19,22000,22000,No,N,0
Pimpri Chinchwad,H,20,19435,19435,No,N,0
Pimpri Chinchwad,G,21,18059,18059,No,N,0
Pimpri Chinchwad,B,22,28214,28214,No,N,0
Pimpri Chinchwad,G,23,15999,15999,No,N,0
Pimpri Chinchwad,G,24,15849,15849,No,N,0
Pimpri Chinchwad,D,25,17718,17718,No,N,0
Pimpri Chinchwad,D,26,17674,17674,No,N,0
Pimpri Chinchwad,G,27,15974,15974,No,N,0
Pimpri Chinchwad,D,28,18284,18284,No,N,0
Pimpri Chinchwad,D,29,17427,17427,No,N,0
Pimpri Chinchwad,H,30,20465,20465,No,N,0
Pimpri Chinchwad,H,31,19085,19085,No,N,0
Pimpri Chinchwad,H,32,16792,16792,No,N,0
