City Name,Zone Name,Ward name,Ward No.,Waste Quantity (TPD),Collection Vehicle details-Type of Waste collection vehicle,Collection Vehicle details-Capacity (in cubic meters),Collection Vehicle details-Year of purchase,Collection Vehicle details-Nos of Vehicle,"Collection Vehicle details-Frequency of trips (Daily, Biweekly, Fortnightly, Monthly)"
Pimpri Chinchwad,F,1,1,35.9,Dry + Wet,NA,NA,NA,Daily
Pimpri Chinchwad,C,2,2,23.3,Dry + Wet,NA,NA,NA,Daily
Pimpri Chinchwad,E,3,3,24.6,Dry + Wet,NA,NA,NA,Daily
Pimpri Chinchwad,E,4,4,28,Dry + Wet,NA,NA,NA,Daily
Pimpri Chinchwad,E,5,5,24.6,Dry + Wet,NA,NA,NA,Daily
Pimpri Chinchwad,C,6,6,22.3,Dry + Wet,NA,NA,NA,Daily
Pimpri Chinchwad,E,7,7,25.98,Dry + Wet,NA,NA,NA,Daily
Pimpri Chinchwad,C,8,8,20.3,Dry + Wet,NA,NA,NA,Daily
Pimpri Chinchwad,C,9,9,24.3,Dry + Wet,NA,NA,NA,Daily
Pimpri Chinchwad,A,10,10,32.56,Dry + Wet,NA,NA,NA,Daily
Pimpri Chinchwad,F,11,11,48.72,Dry + Wet,NA,NA,NA,Daily
Pimpri Chinchwad,F,12,12,41.69,Dry + Wet,NA,NA,NA,Daily
Pimpri Chinchwad,F,13,13,31.3,Dry + Wet,NA,NA,NA,Daily
Pimpri Chinchwad,A,14,14,29.29,Dry + Wet,NA,NA,NA,Daily
Pimpri Chinchwad,A,15,15,31.8,Dry + Wet,NA,NA,NA,Daily
Pimpri Chinchwad,B,16,16,41.07,Dry + Wet,NA,NA,NA,Daily
Pimpri Chinchwad,B,17,17,24.45,Dry + Wet,NA,NA,NA,Daily
Pimpri Chinchwad,B,18,18,22.35,Dry + Wet,NA,NA,NA,Daily
Pimpri Chinchwad,A,19,19,39.9,Dry + Wet,NA,NA,NA,Daily
Pimpri Chinchwad,H,20,20,31.4,Dry + Wet,NA,NA,NA,Daily
Pimpri Chinchwad,G,21,21,32.8,Dry + Wet,NA,NA,NA,Daily
Pimpri Chinchwad,B,22,22,39.8,Dry + Wet,NA,NA,NA,Daily
Pimpri Chinchwad,G,23,23,30.42,Dry + Wet,NA,NA,NA,Daily
Pimpri Chinchwad,G,24,24,30.12,Dry + Wet,NA,NA,NA,Daily
Pimpri Chinchwad,D,25,25,32.19,Dry + Wet,NA,NA,NA,Daily
Pimpri Chinchwad,D,26,26,32.11,Dry + Wet,NA,NA,NA,Daily
Pimpri Chinchwad,G,27,27,30.42,Dry + Wet,NA,NA,NA,Daily
Pimpri Chinchwad,D,28,28,33.21,Dry + Wet,NA,NA,NA,Daily
Pimpri Chinchwad,D,29,29,31.67,Dry + Wet,NA,NA,NA,Daily
Pimpri Chinchwad,H,30,30,33.04,Dry + Wet,NA,NA,NA,Daily
Pimpri Chinchwad,H,31,31,30.84,Dry + Wet,NA,NA,NA,Daily
Pimpri Chinchwad,H,32,32,27.17,Dry + Wet,NA,NA,NA,Daily
